geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06097150100,6097150100,Total,"2006 HW","Sonoma County",Sonoma,72.12,25.46,102.38,66.48,0.00,0.00
1400000US06097150100,6097150100,Total,Vulnerable,"Sonoma County",Sonoma,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097150100,6097150100,AM,General,"Sonoma County",Sonoma,75.93,30.52,93.19,58.26,0.57,4.88
1400000US06097150100,6097150100,JJA,General,"Sonoma County",Sonoma,79.66,19.31,98.60,58.10,0.13,3.25
1400000US06097150100,6097150100,SO,General,"Sonoma County",Sonoma,79.32,23.22,93.47,54.27,0.67,3.90
1400000US06097150202,6097150202,SO,General,"Sonoma County",Sonoma,79.32,23.22,93.47,54.27,0.67,3.90
1400000US06097150202,6097150202,JJA,General,"Sonoma County",Sonoma,79.66,19.31,98.60,58.10,0.13,3.25
1400000US06097150202,6097150202,AM,General,"Sonoma County",Sonoma,75.93,30.52,93.19,58.26,0.57,4.88
1400000US06097150202,6097150202,Total,Vulnerable,"Sonoma County",Sonoma,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097150202,6097150202,Total,"2006 HW","Sonoma County",Sonoma,72.12,25.46,102.38,66.48,0.00,0.00
1400000US06097150203,6097150203,Total,"2006 HW","Sonoma County",Sonoma,72.12,25.46,102.38,66.48,0.00,0.00
1400000US06097150203,6097150203,Total,Vulnerable,"Sonoma County",Sonoma,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097150203,6097150203,AM,General,"Sonoma County",Sonoma,75.93,30.52,93.19,58.26,0.57,4.88
1400000US06097150203,6097150203,JJA,General,"Sonoma County",Sonoma,79.66,19.31,98.60,58.10,0.13,3.25
1400000US06097150203,6097150203,SO,General,"Sonoma County",Sonoma,79.32,23.22,93.47,54.27,0.67,3.90
1400000US06097150204,6097150204,SO,General,"Sonoma County",Sonoma,79.32,23.22,93.47,54.27,0.67,3.90
1400000US06097150204,6097150204,JJA,General,"Sonoma County",Sonoma,79.66,19.31,98.60,58.10,0.13,3.25
1400000US06097150204,6097150204,AM,General,"Sonoma County",Sonoma,75.93,30.52,93.19,58.26,0.57,4.88
1400000US06097150204,6097150204,Total,Vulnerable,"Sonoma County",Sonoma,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097150204,6097150204,Total,"2006 HW","Sonoma County",Sonoma,72.12,25.46,102.38,66.48,0.00,0.00
1400000US06097150303,6097150303,Total,"2006 HW","Sonoma County",Sonoma,72.12,25.46,102.38,66.48,0.00,0.00
1400000US06097150303,6097150303,Total,Vulnerable,"Sonoma County",Sonoma,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097150303,6097150303,AM,General,"Sonoma County",Sonoma,75.93,30.52,93.19,58.26,0.57,4.88
1400000US06097150303,6097150303,JJA,General,"Sonoma County",Sonoma,79.66,19.31,98.60,58.10,0.13,3.25
1400000US06097150303,6097150303,SO,General,"Sonoma County",Sonoma,79.32,23.22,93.47,54.27,0.67,3.90
1400000US06097150304,6097150304,SO,General,"Sonoma County",Sonoma,79.32,23.22,93.47,54.27,0.67,3.90
1400000US06097150304,6097150304,JJA,General,"Sonoma County",Sonoma,79.66,19.31,98.60,58.10,0.13,3.25
1400000US06097150304,6097150304,AM,General,"Sonoma County",Sonoma,75.93,30.52,93.19,58.26,0.57,4.88
1400000US06097150304,6097150304,Total,Vulnerable,"Sonoma County",Sonoma,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097150304,6097150304,Total,"2006 HW","Sonoma County",Sonoma,72.12,25.46,102.38,66.48,0.00,0.00
1400000US06097150305,6097150305,SO,General,"Sonoma County",Sonoma,79.32,23.22,93.47,54.27,0.67,3.90
1400000US06097150305,6097150305,JJA,General,"Sonoma County",Sonoma,79.66,19.31,98.60,58.10,0.13,3.25
1400000US06097150305,6097150305,AM,General,"Sonoma County",Sonoma,75.93,30.52,93.19,58.26,0.57,4.88
1400000US06097150305,6097150305,Total,Vulnerable,"Sonoma County",Sonoma,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097150305,6097150305,Total,"2006 HW","Sonoma County",Sonoma,72.12,25.46,102.38,66.48,0.00,0.00
1400000US06097150306,6097150306,Total,"2006 HW","Sonoma County",Sonoma,72.12,25.46,102.38,66.48,0.00,0.00
1400000US06097150306,6097150306,Total,Vulnerable,"Sonoma County",Sonoma,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097150306,6097150306,AM,General,"Sonoma County",Sonoma,75.93,30.52,93.19,58.26,0.57,4.88
1400000US06097150306,6097150306,JJA,General,"Sonoma County",Sonoma,79.66,19.31,98.60,58.10,0.13,3.25
1400000US06097150306,6097150306,SO,General,"Sonoma County",Sonoma,79.32,23.22,93.47,54.27,0.67,3.90
1400000US06097150500,6097150500,SO,General,"Sonoma County","Glen Ellen",82.02,28.52,84.83,54.59,0.10,5.00
1400000US06097150500,6097150500,JJA,General,"Sonoma County","Glen Ellen",87.10,38.91,85.62,58.24,1.10,4.85
1400000US06097150500,6097150500,AM,General,"Sonoma County","Glen Ellen",69.51,24.59,93.71,62.11,0.03,2.00
1400000US06097150500,6097150500,Total,Vulnerable,"Sonoma County","Glen Ellen",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097150500,6097150500,Total,"2006 HW","Sonoma County","Glen Ellen",72.57,33.16,95.57,63.54,0.00,0.00
1400000US06097150601,6097150601,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150601,6097150601,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150601,6097150601,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150601,6097150601,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150601,6097150601,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150602,6097150602,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150602,6097150602,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150602,6097150602,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150602,6097150602,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150602,6097150602,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150603,6097150603,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150603,6097150603,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150603,6097150603,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150603,6097150603,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150603,6097150603,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150607,6097150607,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150607,6097150607,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150607,6097150607,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150607,6097150607,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150607,6097150607,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150609,6097150609,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150609,6097150609,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150609,6097150609,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150609,6097150609,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150609,6097150609,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150610,6097150610,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150610,6097150610,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150610,6097150610,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150610,6097150610,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150610,6097150610,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150611,6097150611,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150611,6097150611,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150611,6097150611,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150611,6097150611,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150611,6097150611,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150612,6097150612,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150612,6097150612,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150612,6097150612,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150612,6097150612,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150612,6097150612,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150701,6097150701,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150701,6097150701,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150701,6097150701,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150701,6097150701,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150701,6097150701,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150702,6097150702,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150702,6097150702,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150702,6097150702,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150702,6097150702,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150702,6097150702,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150800,6097150800,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150800,6097150800,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150800,6097150800,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150800,6097150800,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150800,6097150800,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150901,6097150901,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150901,6097150901,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150901,6097150901,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150901,6097150901,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150901,6097150901,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097150902,6097150902,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097150902,6097150902,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097150902,6097150902,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097150902,6097150902,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097150902,6097150902,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097151000,6097151000,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097151000,6097151000,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097151000,6097151000,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097151000,6097151000,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097151000,6097151000,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097151100,6097151100,SO,General,"Sonoma County",Petaluma,91.78,41.60,87.55,55.10,0.10,4.67
1400000US06097151100,6097151100,JJA,General,"Sonoma County",Petaluma,84.41,30.67,100.62,63.32,0.10,4.67
1400000US06097151100,6097151100,AM,General,"Sonoma County",Petaluma,84.91,44.01,85.49,54.41,0.17,4.40
1400000US06097151100,6097151100,Total,Vulnerable,"Sonoma County",Petaluma,87.37,29.77,91.83,55.62,1.97,3.80
1400000US06097151100,6097151100,Total,"2006 HW","Sonoma County",Petaluma,85.31,31.84,102.23,63.53,0.00,0.00
1400000US06097151201,6097151201,SO,General,"Sonoma County",Cotati,95.68,25.32,92.83,53.12,0.07,5.00
1400000US06097151201,6097151201,JJA,General,"Sonoma County",Cotati,96.72,55.32,81.67,58.15,0.40,5.25
1400000US06097151201,6097151201,AM,General,"Sonoma County",Cotati,88.92,34.00,85.46,51.03,0.83,3.16
1400000US06097151201,6097151201,Total,Vulnerable,"Sonoma County",Cotati,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097151201,6097151201,Total,"2006 HW","Sonoma County",Cotati,86.69,34.38,102.81,63.37,0.00,0.00
1400000US06097151203,6097151203,Total,"2006 HW","Sonoma County",Cotati,72.57,33.16,95.57,63.54,0.00,0.00
1400000US06097151203,6097151203,Total,Vulnerable,"Sonoma County",Cotati,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097151203,6097151203,AM,General,"Sonoma County",Cotati,69.51,24.59,93.71,62.11,0.03,2.00
1400000US06097151203,6097151203,JJA,General,"Sonoma County",Cotati,87.10,38.91,85.62,58.24,1.10,4.85
1400000US06097151203,6097151203,SO,General,"Sonoma County",Cotati,82.02,28.52,84.83,54.59,0.10,5.00
1400000US06097151204,6097151204,SO,General,"Sonoma County",Cotati,82.02,28.52,84.83,54.59,0.10,5.00
1400000US06097151204,6097151204,JJA,General,"Sonoma County",Cotati,87.10,38.91,85.62,58.24,1.10,4.85
1400000US06097151204,6097151204,AM,General,"Sonoma County",Cotati,69.51,24.59,93.71,62.11,0.03,2.00
1400000US06097151204,6097151204,Total,Vulnerable,"Sonoma County",Cotati,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097151204,6097151204,Total,"2006 HW","Sonoma County",Cotati,72.57,33.16,95.57,63.54,0.00,0.00
1400000US06097151301,6097151301,Total,"2006 HW","Sonoma County","Rohnert Park",86.69,34.38,102.81,63.37,0.00,0.00
1400000US06097151301,6097151301,Total,Vulnerable,"Sonoma County","Rohnert Park",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097151301,6097151301,AM,General,"Sonoma County","Rohnert Park",88.92,34.00,85.46,51.03,0.83,3.16
1400000US06097151301,6097151301,JJA,General,"Sonoma County","Rohnert Park",96.72,55.32,81.67,58.15,0.40,5.25
1400000US06097151301,6097151301,SO,General,"Sonoma County","Rohnert Park",95.68,25.32,92.83,53.12,0.07,5.00
1400000US06097151305,6097151305,SO,General,"Sonoma County","Rohnert Park",95.68,25.32,92.83,53.12,0.07,5.00
1400000US06097151305,6097151305,JJA,General,"Sonoma County","Rohnert Park",96.72,55.32,81.67,58.15,0.40,5.25
1400000US06097151305,6097151305,AM,General,"Sonoma County","Rohnert Park",88.92,34.00,85.46,51.03,0.83,3.16
1400000US06097151305,6097151305,Total,Vulnerable,"Sonoma County","Rohnert Park",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097151305,6097151305,Total,"2006 HW","Sonoma County","Rohnert Park",86.69,34.38,102.81,63.37,0.00,0.00
1400000US06097151306,6097151306,Total,"2006 HW","Sonoma County","Rohnert Park",86.69,34.38,102.81,63.37,0.00,0.00
1400000US06097151306,6097151306,Total,Vulnerable,"Sonoma County","Rohnert Park",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06097151306,6097151306,AM,General,"Sonoma County","Rohnert Park",88.92,34.00,85.46,51.03,0.83,3.16
1400000US06097151306,6097151306,JJA,General,"Sonoma County","Rohnert Park",96.72,55.32,81.67,58.15,0.40,5.25
