geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06099000101,6099000101,Total,"2006 HW","Stanislaus County",Farmington,64.73,31.72,110.85,78.94,0.00,0.00
1400000US06099000101,6099000101,Total,Vulnerable,"Stanislaus County",Farmington,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06099000101,6099000101,AM,General,"Stanislaus County",Farmington,68.74,31.74,101.85,66.25,0.13,2.00
1400000US06099000101,6099000101,JJA,General,"Stanislaus County",Farmington,75.30,31.95,101.47,66.99,0.70,5.62
1400000US06099000101,6099000101,SO,General,"Stanislaus County",Farmington,71.00,33.71,92.34,66.17,0.43,3.85
1400000US06099000102,6099000102,SO,General,"Stanislaus County",Oakdale,71.00,33.71,92.34,66.17,0.43,3.85
1400000US06099000102,6099000102,JJA,General,"Stanislaus County",Oakdale,75.30,31.95,101.47,66.99,0.70,5.62
1400000US06099000102,6099000102,AM,General,"Stanislaus County",Oakdale,68.74,31.74,101.85,66.25,0.13,2.00
1400000US06099000102,6099000102,Total,Vulnerable,"Stanislaus County",Oakdale,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06099000102,6099000102,Total,"2006 HW","Stanislaus County",Oakdale,64.73,31.72,110.85,78.94,0.00,0.00
1400000US06099000201,6099000201,SO,General,"Stanislaus County",Oakdale,71.00,33.71,92.34,66.17,0.43,3.85
1400000US06099000201,6099000201,JJA,General,"Stanislaus County",Oakdale,75.30,31.95,101.47,66.99,0.70,5.62
1400000US06099000201,6099000201,AM,General,"Stanislaus County",Oakdale,68.74,31.74,101.85,66.25,0.13,2.00
1400000US06099000201,6099000201,Total,Vulnerable,"Stanislaus County",Oakdale,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06099000201,6099000201,Total,"2006 HW","Stanislaus County",Oakdale,64.73,31.72,110.85,78.94,0.00,0.00
1400000US06099000202,6099000202,Total,"2006 HW","Stanislaus County",Oakdale,64.73,31.72,110.85,78.94,0.00,0.00
1400000US06099000202,6099000202,Total,Vulnerable,"Stanislaus County",Oakdale,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06099000202,6099000202,AM,General,"Stanislaus County",Oakdale,68.74,31.74,101.85,66.25,0.13,2.00
1400000US06099000202,6099000202,JJA,General,"Stanislaus County",Oakdale,75.30,31.95,101.47,66.99,0.70,5.62
1400000US06099000202,6099000202,SO,General,"Stanislaus County",Oakdale,71.00,33.71,92.34,66.17,0.43,3.85
1400000US06099000203,6099000203,SO,General,"Stanislaus County",Oakdale,71.00,33.71,92.34,66.17,0.43,3.85
1400000US06099000203,6099000203,JJA,General,"Stanislaus County",Oakdale,75.30,31.95,101.47,66.99,0.70,5.62
1400000US06099000203,6099000203,AM,General,"Stanislaus County",Oakdale,68.74,31.74,101.85,66.25,0.13,2.00
1400000US06099000203,6099000203,Total,Vulnerable,"Stanislaus County",Oakdale,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06099000203,6099000203,Total,"2006 HW","Stanislaus County",Oakdale,64.73,31.72,110.85,78.94,0.00,0.00
1400000US06099000301,6099000301,SO,General,"Stanislaus County",Riverbank,75.33,34.31,90.50,65.60,0.30,5.11
1400000US06099000301,6099000301,JJA,General,"Stanislaus County",Riverbank,64.57,36.39,103.75,73.61,0.27,3.00
